,obs,name,jd,mnvel,errvel,sval,cts,tel
43088,,188512,2452041.973633,-5.286349296569824,5.4711018,,39123.0,lick
43089,,188512,2452041.977539,-3.048058032989502,5.490072,,43696.0,lick
43090,,188512,2452043.984375,-1.994321584701538,4.979798,,65192.0,lick
43091,,188512,2452044.989258,0.5472016334533691,5.5408263,,29560.0,lick
43092,,188512,2452046.996094,2.7355849742889404,5.074476,,32548.0,lick
43093,,188512,2452056.97168,0.3410933017730713,4.201669,,101118.0,lick
43094,,188512,2452075.925781,-10.362245559692383,4.3439956,,93597.0,lick
43095,,188512,2452077.957031,-1.3083205223083496,4.967348,,46504.0,lick
43096,,188512,2452079.956055,-0.307283878326416,4.6988835,,50873.0,lick
43097,,188512,2452080.890625,-9.682186126708984,4.9506044,,35885.0,lick
43098,,188512,2452081.958008,-4.30180549621582,4.9104447,,36685.0,lick
43099,,188512,2452082.945312,-2.4096851348876953,4.864102,,38750.0,lick
43100,,188512,2452083.847656,-4.900478839874268,4.7497563,,60117.0,lick
43101,,188512,2452085.959961,-6.340929985046387,5.2046866,,35124.0,lick
43102,,188512,2452098.923828,6.533037185668945,4.2861705,,60181.0,lick
43103,,188512,2452099.821289,6.4774250984191895,4.686958,,37892.0,lick
43104,,188512,2452100.933594,5.849513530731201,4.6342955,,34750.0,lick
43105,,188512,2452101.876953,8.771407127380371,4.128048,,73351.0,lick
43106,,188512,2452101.895508,6.5217671394348145,4.269032,,75435.0,lick
43107,,188512,2452106.918945,2.663115978240967,4.698101,,45986.0,lick
43108,,188512,2452107.868164,-2.4422402381896973,4.874902,,45168.0,lick
43109,,188512,2452108.930664,3.0817859172821045,4.338948,,54044.0,lick
43110,,188512,2452109.897461,5.721971035003662,4.330722,,59506.0,lick
43111,,188512,2452110.913086,3.2516579627990723,4.062572,,49539.0,lick
43112,,188512,2452124.883789,7.941595554351807,4.3090506,,58152.0,lick
43113,,188512,2452125.860352,6.567618370056152,4.808931,,49070.0,lick
43114,,188512,2452145.729492,1.8330824375152588,5.966103,,19128.0,lick
43115,,188512,2452147.786133,-6.396893501281738,4.8903756,,44216.0,lick
43116,,188512,2452147.797852,1.3221383094787598,4.741572,,45487.0,lick
43117,,188512,2452148.824219,1.0501441955566406,4.2378974,,78166.0,lick
43118,,188512,2452156.760742,2.1731514930725098,4.619212,,46576.0,lick
43119,,188512,2452162.762695,3.762165069580078,4.7714596,,48268.0,lick
43120,,188512,2452164.773438,0.728192925453186,4.510208,,45423.0,lick
43121,,188512,2452165.768555,3.4769253730773926,4.515994,,45029.0,lick
43122,,188512,2452166.71875,4.218871116638184,4.753588,,50796.0,lick
